spp,size,family,fg,habitat,Included,,,
Halichoeres_prosopeion,13,Labridae,Micro-invertivore,Reef,1,,,
Halichoeres_radiatus,51,Labridae,Micro-invertivore,Reef,1,,,
Halichoeres_richmondi,19,Labridae,Micro-invertivore,Reef,1,,,
Halichoeres_scapularis,20,Labridae,Micro-invertivore,Reef,1,,,
Halichoeres_sp,23,Labridae,Micro-invertivore,Reef,1,,,
Halichoeres_trimaculatus,27,Labridae,Micro-invertivore,Reef,1,,,
Halichoeres_vrolikii,13,Labridae,Micro-invertivore,Reef,1,,,
Hazeus_nephodes,5,Gobiidae,Detritivore,Reef,1,,,
Helcogramma_striatum,4.3,Tripterygiidae,Planktivore,Reef,1,,,
Hemigymnus_fasciatus,80,Labridae,Macro-invertivore,Reef,1,,,
Hemigymnus_melapterus,90,Labridae,Macro-invertivore,Reef,1,,,
Hemitaurichthys_polylepis,18,Chaetodontidae,Planktivore,Reef,1,,,
Hemitaurichthys_polylepis,18,Chaetodontidae,Planktivore,Reef,1,,,
Hemitaurichthys_thompsoni,18,Chaetodontidae,Planktivore,Reef,1,,,
Hemitaurichthys_zoster,18,Chaetodontidae,Planktivore,Reef,1,,,
Heniochus_acuminatus,25,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_chrysostomus,18,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_chrysostomus,18,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_diphreutes,21,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_monoceros,24,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_monoceros,24,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_pleurotaenia,17,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_singularius,30,Chaetodontidae,Corallivore,Reef,1,,,
Heniochus_singularius,30,Chaetodontidae,Corallivore,Reef,1,,,
Heniochus_singularius,30,Chaetodontidae,Corallivore,Reef,1,,,
Heniochus_sp,25,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_sp,25,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heniochus_varius,19,Chaetodontidae,Micro-invertivore,Reef,1,,,
Heteroconger_longissimus,51,Congridae,Planktivore,Reef,1,,,
Heteropriacanthus_cruentatus,50.7,Priacanthidae,Planktivore,Reef,1,,,
Hippocampus_erectus,19,Sygnathidae,Macro-invertivore,Reef,1,,,
Hipposcarus_harid,75,Scaridae,Excavator/scraper,Reef,1,,,
Hipposcarus_longiceps,60,Scaridae,Excavator/scraper,Reef,1,,,
Holacanthus_ciliaris,45,Pomacanthidae,Micro-invertivore,Reef,1,,,
Holacanthus_tricolor,35,Pomacanthidae,Micro-invertivore,Reef,1,,,
Holocentrus_adscensionis,61,Holocentridae,Planktivore,Nocturnal,0,,,
Holocentrus_rufus,35,Holocentridae,Planktivore,Nocturnal,0,,,
Hologymnosus_annulatus,40,Labridae,Pisci-invertivore,Reef,1,,,
Hologymnosus_doliatus,50,Labridae,Pisci-invertivore,Reef,1,,,
Hoplolatilus_starcki,15.5,Malacanthidae,Planktivore,Reef,1,,,
Hypleurochilus_caudovittatus,6,Gobiidae,Detritivore,Reef,1,,,
Hypoplectrus_chlorurus,12.7,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_guttavarius,13,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_indigo,14.3,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_nigricans,15.2,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_puella,15.2,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_sp,14,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_sp,14,Serranidae,Pisci-invertivore,Reef,1,,,
Hypoplectrus_unicolor,12.7,Serranidae,Pisci-invertivore,Reef,1,,,
Hyporhamphus_acutus,30,Hemiramphidae,Planktivore,Pelagic,0,,,
Iniistius_aneitensis,24,Labridae,Micro-invertivore,Reef,1,,,
Iniistius_pavo,41,Labridae,Micro-invertivore,Reef,1,,,
Iniistius_umbrilatus,17.5,Labridae,Micro-invertivore,Reef,1,,,
Istigobius_decoratus,13,Gobiidae,Detritivore,Reef,1,,,
Istigobius_sp,13,Gobiidae,Detritivore,Reef,1,,,
Itycirrhitus_wilhelmi,12,Cirrhitidae,Micro-invertivore,Reef,1,,,
Katsuwonus_pelamis,110,Scombridae,Piscivore,Pelagic,0,,,
Koumansetta_hectori,-999,Gobiidae,Detritivore,Reef,1,,,
Kuhlia_sandvicensis,21.4,Kuhliidae,Pisci-invertivore,Reef,1,,,
Kyphosus_bigibbus,75,Kyphosidae,Browser,Reef,1,,,
Kyphosus_cinerascens,50,Kyphosidae,Browser,Reef,1,,,
Kyphosus_hawaiiensis,41,Kyphosidae,Browser,Reef,1,,,
Kyphosus_pacificus,45,Kyphosidae,Browser,Reef,1,,,
Kyphosus_sandwicensis,75,Kyphosidae,Browser,Reef,1,,,
Kyphosus_sectatrix,76,Kyphosidae,Browser,Mangroves,0,,,
Kyphosus_sp,75,Kyphosidae,Browser,Reef,1,,,
Kyphosus_sp,75,Kyphosidae,Browser,Reef,1,,,
Kyphosus_sp,75,Kyphosidae,Browser,Reef,1,,,
Kyphosus_vaigiensis,70,Kyphosidae,Browser,Reef,1,,,
Labrichthys_unilineatus,17.5,Labridae,Corallivore,Reef,1,,,
Labrid_sp,14,Labridae,Micro-invertivore,Reef,1,,,
Labrid_sp,14,Labridae,Micro-invertivore,Reef,1,,,
Labrisomus_gobio,6.5,Labrisomidae,Micro-invertivore,Reef,1,,,
Labroides_bicolor,15,Labridae,Micro-invertivore,Reef,1,,,
Labroides_dimidiatus,14,Labridae,Micro-invertivore,Reef,1,,,
Labroides_pectoralis,11,Labridae,Micro-invertivore,Reef,1,,,
Labroides_phthirophagus,12,Labridae,Micro-invertivore,Reef,1,,,
Labroides_rubrolabiatus,9,Labridae,Micro-invertivore,Reef,1,,,
Labropsis_australis,10.5,Labridae,Corallivore,Reef,1,,,
Labropsis_polynesica,7.9,Labridae,Corallivore,Reef,1,,,
Labropsis_xanthonota,13,Labridae,Corallivore,Reef,1,,,
Lachnolaimus_maximus,91,Labridae,Macro-invertivore,Reef,1,,,
Lactophrys_bicaudalis,48,Ostraciidae,Micro-invertivore,Reef,1,,,
Lactophrys_trigonus,55,Ostraciidae,Micro-invertivore,Reef,1,,,
Lactophrys_triqueter,47,Ostraciidae,Micro-invertivore,Reef,1,,,
Lactoria_diaphana,34,Ostraciidae,Micro-invertivore,Reef,1,,,
Lactoria_fornasini,23,Ostraciidae,Micro-invertivore,Reef,1,,,
Larbichthys_unilineatus,17.5,Labridae,Corallivore,Reef,1,,,
Lepidozygus_tapeinosoma,10.5,Pomacentridae,Planktivore,Reef,1,,,
Leptoscarus_vaigiensis,35,Scaridae,Browser,Reef,1,,,
Lethrinus_enigmaticus,55,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_erythracanthus,70,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_harak,50,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_lentjan,52,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_mahsena,65,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_microdon,80,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_microdon,80,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_miniatus,90,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_nebulosus,87,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_obsoletus,60,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_olivaceous,100,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_olivaceus,100,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_rubrioperculatus,50,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_sp,70,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_xanthocheilus,70,Lethrinidae,Pisci-invertivore,Reef,1,,,
Lethrinus_xanthochilus,70,Lethrinidae,Pisci-invertivore,Reef,1,,,
Liopropoma_rubre,10,Serranidae,Macro-invertivore,Reef,1,,,
Lotilia_graciliosa,4.5,Gobiidae,Detritivore,Reef,1,,,
Lucayablennius_zingaro,3.8,Chaenopsidae,Detritivore,Reef,1,,,
Lutjanus_analis,94,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_apodus,67.2,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_argentimaculatus,150,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_bengalensis,30,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_biguttatus,25,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_bohar,90,Lutjanidae,Piscivore,Reef,1,,,
Lutjanus_carponotatus,40,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_cyanopterus,160,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_decussatus,35,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_ehrenbergii,35,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_fulviflamma,35,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_fulvus,40,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_gibbus,50,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_griseus,89,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_jocu,128,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_kasmira,40,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_lutjanus,35,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_mahogoni,48,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_maxweberi,15,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_monostigma,60,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_quinquelineatus,38,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_rivulatus,80,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_russeli,50,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_semicinctus,35,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_sp,55,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_sp,55,Lutjanidae,Pisci-invertivore,Reef,1,,,
Lutjanus_synagris,60,Lutjanidae,Pisci-invertivore,Reef,1,,,
Luzonichthys_sp,5.8,Serranidae,Planktivore,Reef,1,,,
Luzonichthys_whitleyi,5.8,Serranidae,Planktivore,Reef,1,,,
Macolor_macularis,60,Lutjanidae,Pisci-invertivore,Reef,1,,,
Macolor_niger,75,Lutjanidae,Pisci-invertivore,Reef,1,,,
Macolor_niger,75,Lutjanidae,Pisci-invertivore,Reef,1,,,
Macolor_sp,75,Lutjanidae,Pisci-invertivore,Reef,1,,,
Macropharyngodon_bipartitus,13,Labridae,Micro-invertivore,Reef,1,,,
Macropharyngodon_geoffroy,15,Labridae,Micro-invertivore,Reef,1,,,
Macropharyngodon_meleagris,15,Labridae,Micro-invertivore,Reef,1,,,
Macropharyngodon_sp,15,Labridae,Micro-invertivore,Reef,1,,,
Macropharyngodon_sp,15,Labridae,Micro-invertivore,Reef,1,,,
Malacanthus_brevirostris,32,Malacanthidae,Macro-invertivore,Reef,1,,,
Malacanthus_latovittatus,45,Malacanthidae,Macro-invertivore,Reef,1,,,
Malacanthus_plumieri,70,Malacanthidae,Macro-invertivore,Reef,1,,,
Malacoctenus_boehlkei,6.4,Labrisomidae,Micro-invertivore,Reef,1,,,
Malacoctenus_macropus,5.5,Labrisomidae,Micro-invertivore,Reef,1,,,
Malacoctenus_triangulatus,7.5,Labrisomidae,Micro-invertivore,Reef,1,,,
Manta_birostris,910,Mobulidae,Planktivore,Pelagic,0,,,
Meiacanthus_atrodorsalis,11,Blenniidae,Micro-invertivore,Reef,1,,,
Melichthys_indicus,25,Balistidae,Planktivore,Reef,1,,,
Melichthys_niger,50,Balistidae,Planktivore,Reef,1,,,
Melichthys_sp,37,Balistidae,Planktivore,Reef,1,,,
Melichthys_sp,37,Balistidae,Planktivore,Reef,1,,,
Melichthys_vidua,40,Balistidae,Planktivore,Reef,1,,,
Micrognathus_ensenadae,15,Sygnathidae,Macro-invertivore,Reef,1,,,
Microspathodon_chrysurus,21,Pomacentridae,Grazer,Reef,1,,,
Monacanthus_tuckeri,10,Monacanthidae,Micro-invertivore,Reef,1,,,
Monotaxis_grandoculis,60,Lethrinidae,Macro-invertivore,Reef,1,,,
Mulloidichthys_flavolineatus,43,Mullidae,Macro-invertivore,Reef,1,,,
Mulloidichthys_martinicus,39.4,Mullidae,Pisci-invertivore,Reef,1,,,
Mulloidichthys_mimicus,30,Mullidae,Pisci-invertivore,Reef,1,,,
Mulloidichthys_pfluegeri,40,Mullidae,Pisci-invertivore,Reef,1,,,
Mulloidichthys_vanicolensis,38,Mullidae,Pisci-invertivore,Reef,1,,,
Mycteroperca_bonaci,150,Serranidae,Piscivore,Reef,1,,,
Mycteroperca_interstitialis,84,Serranidae,Piscivore,Reef,1,,,
Mycteroperca_tigris,101,Serranidae,Piscivore,Reef,1,,,
Mycteroperca_venenosa,100,Serranidae,Piscivore,Reef,1,,,
Mycteroperce_institialis,84,Serranidae,Piscivore,Reef,1,,,
Myrichthys_breviceps,102,Ophichthidae,Pisci-invertivore,Reef,1,,,
Myrichthys_magnificus,78,Ophichthidae,Pisci-invertivore,Reef,1,,,
Myripristis_adusta,35,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_amaena,26.5,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_berndti,30,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_chryseres,25,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_earlei,24,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_jacobus,25,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_kuntee,26,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_murdjan,60,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_tiki,26.5,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_violacea,35,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_vittata,25,Holocentridae,Planktivore,Nocturnal,0,,,
Myripristis_woodsi,25,Holocentridae,Planktivore,Nocturnal,0,,,
Myrpristis_amaena,27,Holocentridae,Planktivore,Nocturnal,0,,,
Naso_annulatus,100,Acanthuridae,Planktivore,Reef,1,,,
Naso_brachycentron,90,Acanthuridae,Browser,Reef,1,,,
Naso_brevirostris,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_brevirostris,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_caesius,45.6,Acanthuridae,Planktivore,Reef,1,,,
Naso_hexacanthus,75,Acanthuridae,Planktivore,Reef,1,,,
Naso_lituratus,46,Acanthuridae,Browser,Reef,1,,,
Naso_lopezi,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_maculatus,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_sp,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_thynnoides,40,Acanthuridae,Planktivore,Reef,1,,,
Naso_tonganus,60,Acanthuridae,Browser,Reef,1,,,
Naso_tuberosus,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_unicornis,70,Acanthuridae,Browser,Reef,1,,,
Naso_vlamingii,60,Acanthuridae,Planktivore,Reef,1,,,
Naso_vlamingii,60,Acanthuridae,Planktivore,Reef,1,,,
Nebrius_ferrugineus,320,Ginglymostomatidae,Pisci-invertivore,Shark,0,,,
Nemanthias_carberryi,13,Serranidae,Planktivore,Reef,1,,,
Nemateleotris_helfrichi,6,Microdesmidae,Planktivore,Reef,1,,,
Nemateleotris_magnifica,9,Microdesmidae,Planktivore,Reef,1,,,
Neocirrhites_armatus,9,Cirrhitidae,Micro-invertivore,Reef,1,,,
Neoglyphidodon_melas,18,Pomacentridae,Micro-invertivore,Reef,1,,,
Neoglyphidodon_nigroris,13,Pomacentridae,Planktivore,Reef,1,,,
Neoiphon_marianus,18,Holocentridae,Pisci-invertivore,Nocturnal,0,,,
Neomyxus_leuciscus,46,Mugilidae,Detritivore,Reef,1,,,
Neoniphon_argenteus,24,Holocentridae,Pisci-invertivore,Nocturnal,0,,,
Neoniphon_aurolineatus,25,Holocentridae,Pisci-invertivore,Nocturnal,0,,,
Neoniphon_opercularis,35,Holocentridae,Pisci-invertivore,Nocturnal,0,,,
Neoniphon_sammara,32,Holocentridae,Pisci-invertivore,Nocturnal,0,,,
Neoniphon_sp,30,Holocentridae,Pisci-invertivore,Nocturnal,0,,,
Neopomacentrus_azysron,7.5,Pomacentridae,Planktivore,Reef,1,,,
Neopomacentrus_metallicus,6,Pomacentridae,Planktivore,Reef,1,,,
Nes_longus,10,Gobiidae,Detritivore,Reef,1,,,
Novaculichthys_taeniourus,30,Labridae,Macro-invertivore,Reef,1,,,
Ocyurus_chrysurus,86.3,Lutjanidae,Pisci-invertivore,Reef,1,,,
Odontoscion_dentex,30,Sciaenidae,Pisci-invertivore,Reef,1,,,
Odonus_niger,50,Balistidae,Planktivore,Reef,1,,,
Omobranchus_rotundiceps,10,Blenniidae,Detritivore,Reef,1,,,
Ophioblennius_macclurei,12.2,Blenniidae,Detritivore,Reef,1,,,
Ophioblennius_macclurei,12.2,Blenniidae,Detritivore,Reef,1,,,
Ophioblennius_macclurei,12.2,Blenniidae,Detritivore,Reef,1,,,
Opistognathus_aurifrons,10,Opistognathidae,Planktivore,Reef,1,,,
Oplegnathus_fasciatus,80,Oplegnathidae,Macro-invertivore,Reef,1,,,
Oplegnathus_punctatus,86,Oplegnathidae,Macro-invertivore,Reef,1,,,
Ostorhinchus_angustatus,11,Apogonidae,Planktivore,Reef,1,,,
Ostracion_cubicus,45,Ostraciidae,Micro-invertivore,Reef,1,,,
Ostracion_meleagris,25,Ostraciidae,Micro-invertivore,Reef,1,,,
Ostracion_solorensis,12,Ostraciidae,Micro-invertivore,Reef,1,,,
Ostracion_whitleyi,15.5,Ostraciidae,Micro-invertivore,Reef,1,,,
Oxycheilinus_arenatus,21,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_bimaculatus,15,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_celebicus,24,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_digramma,40,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_digramma,40,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_digramma,40,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_digramma,40,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_orientalis,20,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_rhodochrous,20,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_sp,40,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_unifasciatus,46,Labridae,Pisci-invertivore,Reef,1,,,
Oxycheilinus_unifasciatus,46,Labridae,Pisci-invertivore,Reef,1,,,
Oxycirrhites_typus,13,Cirrhitidae,Micro-invertivore,Reef,1,,,
Oxymonacanthus_longirostris,12,Monacanthidae,Micro-invertivore,Reef,1,,,
Oxymonacanthus_longirostris,12,Monacanthidae,Micro-invertivore,Reef,1,,,
Parablennius_marmoratus,15.2,Blenniidae,Detritivore,Reef,1,,,
Paracanthurus_hepatus,31,Acanthuridae,Planktivore,Reef,1,,,
Paracirrhites_arcatus,20,Cirrhitidae,Micro-invertivore,Reef,1,,,
Paracirrhites_forsteri,22,Cirrhitidae,Micro-invertivore,Reef,1,,,
Paracirrhites_hemistictus,29,Cirrhitidae,Micro-invertivore,Reef,1,,,
Paracirrhites_xanthus,10,Cirrhitidae,Micro-invertivore,Reef,1,,,
Paradiplogrammus_bairdi,11.4,Callionymidae,Micro-invertivore,Reef,1,,,
Paragobiodon_echinocephalus,4,Gobiidae,Detritivore,Reef,1,,,
Paraluteres_prionurus,11,Monacanthidae,Micro-invertivore,Reef,1,,,
Paranthias_furcifer,30,Serranidae,Planktivore,Reef,1,,,
Parapercis_clathrata,24,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_hexophtalma,29,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_hexophthalma,29,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_millepunctata,18,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_millipunctata,18,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_nebulosa,25,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_schauinslandi,18,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_schauinslandii,18,Pinguipedidae,Piscivore,Reef,1,,,
Parapercis_sp,20,Pinguipedidae,Piscivore,Reef,1,,,
Pareques_acuminatus,23,Sciaenidae,Macro-invertivore,Reef,1,,,
Parupeneus_barberinoides,30,Mullidae,Micro-invertivore,Reef,1,,,
Parupeneus_barberinus,60,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_barberinus,60,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_bifasciatus,35,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_chrysonemus,19.6,Mullidae,Micro-invertivore,Reef,1,,,
Parupeneus_ciliatus,38,Mullidae,Micro-invertivore,Reef,1,,,
Parupeneus_crassilabris,38,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_cyclostomus,50,Mullidae,Pisci-invertivore,Reef,1,,,
Parupeneus_indicus,45,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_insularis,30,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_macronemus,40,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_macronemus,40,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_multifasciatus,35,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_multifasciatus,35,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_orientalis,24.9,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_pleurostigma,33,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_porphyreus,51,Mullidae,Pisci-invertivore,Reef,1,,,
Parupeneus_rubescens,43,Mullidae,Macro-invertivore,Reef,1,,,
Parupeneus_trifasciatus,35,Mullidae,Macro-invertivore,Reef,1,,,
Pempheris_oualensis,22,Pempheridae,Planktivore,Reef,1,,,
Pempheris_schomburgki,15,Pempheridae,Planktivore,Reef,1,,,
Pempheris_vanicolensis,20,Pempheridae,Planktivore,Reef,1,,,
Pervagor_aspricaudus,13,Monacanthidae,Micro-invertivore,Reef,1,,,
Pervagor_janthinosoma,13,Monacanthidae,Micro-invertivore,Reef,1,,,
Pervagor_marginalis,6.2,Monacanthidae,Micro-invertivore,Reef,1,,,
Pervagor_melanocephalus,16,Monacanthidae,Micro-invertivore,Reef,1,,,
Pervagor_sp,10,Monacanthidae,Micro-invertivore,Reef,1,,,
Pervagor_spilosoma,18,Monacanthidae,Micro-invertivore,Reef,1,,,
Phaeoptyx_xenus,7.5,Apogonidae,Planktivore,Reef,1,,,
Plagiotremus_ewaensis,10.2,Blenniidae,Micro-invertivore,Reef,1,,,
Plagiotremus_goslinei,6.3,Blenniidae,Micro-invertivore,Reef,1,,,
Plagiotremus_laudandus,8,Blenniidae,Micro-invertivore,Reef,1,,,
Plagiotremus_rhinorhynchos,12,Blenniidae,Micro-invertivore,Reef,1,,,
Plagiotremus_taepinosoma,14,Blenniidae,Micro-invertivore,Reef,1,,,
Plagiotremus_tapeinosoma,14,Blenniidae,Micro-invertivore,Reef,1,,,
Platax_batavianus,65,Ephippidae,NA,Pelagic,0,,,
Platax_orbicularis,60,Ephippidae,NA,Pelagic,0,,,
Platax_sp,60,Ephippidae,NA,Pelagic,0,,,
Platax_sp,60,Ephippidae,NA,Pelagic,0,,,
Platax_teira,70,Ephippidae,NA,Pelagic,0,,,
Platybelone_argalus,50,Belonidae,Piscivore,Pelagic,0,,,
Plectorhinchus_albovittatus,100,Haemulidae,Pisci-invertivore,Reef,1,,,
Plectorhinchus_chaetodonoides,72,Haemulidae,Micro-invertivore,Reef,1,,,
